title,story,phonics_focus,sentence_count,source,menon_hiebert_level,present_patterns,target_phonics,present_phonics_summary
Music Class,"Music class is the best because we get to sing. It is no secret that I love to sing. If you sing well, you get to have a solo. When I have a solo in music class, I pretend I am on a huge stage. It is silent for a moment, then I begin. I sing and sing like time is frozen. At the end, my friends clap for me. That is a nice bonus.",,8,UFLI,3,"digraph, blend, final_e, vowel_team, r_controlled, multisyllabic","consonant blends, multisyllabic words, consonant digraphs","consonant digraphs, consonant blends, final-e words, multisyllabic words"
Catching Fish,"Kate and Mitch wanted to do something fun. Kate hatched a thrilling plan. She snatched a bucket and some poles from the hutch. “Let’s go!” Kate yelled. Kate and Mitch went to the lake beyond the ditch. “Let’s catch some fish,” Kate calls out. Mitch catches a fish! They pitch it in the bucket. “Nice catch! Let’s get this fish back home,” said Kate. At home, Kate and Mitch toss the fish into their pond. “This fish can be our pet!” said Kate.",,14,UFLI,4,"digraph, blend, final_e, l_controlled, diphthong, multisyllabic","consonant digraphs, final-e words, consonant blends","consonant digraphs, consonant blends, final-e words, multisyllabic words"
The Lodge,"Calvin has a lodge at the edge of the glen. The lodge has a fridge and a TV. To get to the lodge, you must go on a bridge then pass the ridge by the lake. You can see many animals move from place to place by the lake. Calvin loves the lodge. He pledges he will not move from it because his children come to visit him there. Calvin and his children have lots of fun at the lodge. They make music and sing songs by the fire. Sometimes they even jump into the lake and swim with the animals. The lodge is a hidden gem.",,10,UFLI,4,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, multisyllabic","multisyllabic words, consonant blends, final-e words","consonant digraphs, consonant blends, final-e words, l-controlled vowels, multisyllabic words"
Robin and Butch,"Robin is walking Butch the bulldog. They walk to a patch of grass beside a big ditch. Robin tosses a stick and Butch dashes to fetch it. The stick lands on the edge of the ditch. “Oh no! That is a bad place for the stick to land,” thinks Robin. “Stop Butch!” she yells. Butch stops and does not budge. Robin walks up to the edge and grabs the stick. “Good job Butch! I got your stick. Do you want it back?” Robin tosses the stick and Butch jumps to catch it.",,14,UFLI,3,"digraph, blend, final_e, r_controlled, l_controlled, multisyllabic","consonant digraphs, consonant blends, multisyllabic words","consonant digraphs, consonant blends, final-e words, l-controlled vowels, multisyllabic words"
The Gold Rush,"Long ago, bold men and women drove west to find gold. They left their old lives behind in hopes of being rich. These were wild times. Mines exploded with gold that could be sold for lots of cash. Some folks got rich, but most did not find any gold. The men and women who did not find gold went back to their old homes. There they told the tale of their tragic time in the Wild West gold rush.",,7,UFLI,6,"digraph, blend, final_e, r_controlled, l_controlled, multisyllabic","consonant blends, consonant digraphs, multisyllabic words","consonant digraphs, consonant blends, final-e words, multisyllabic words"
Plane Race,"Tyrell and Franklin love planes. They love to see them fly in the sky. Once, Tyrell and Franklin went to see four planes race. There was a red plane, a white plane, a pink plane, and a black plane. “I bet the red plane will win!” said Tyrell. “I think the white one will win!” said Franklin. Tyrell and Franklin spy the planes as they fly by in the sky. In the end, the black plane made it to the finish line. “Oh well! The red and white planes can try to win next time,” said Tyrell.",,12,UFLI,4,"digraph, blend, final_e, vowel_team, r_controlled, diphthong, multisyllabic","consonant blends, final-e words, multisyllabic words","consonant digraphs, consonant blends, final-e words, multisyllabic words"
Lily’s Puppy,"Lily had been wishing for a puppy for a long time. She wanted a silly puppy to run and jump with. But her mommy said Lily could not have one because she was only seven. Lily begged her mommy and daddy. She said, “I am not a baby. It would make me so happy to have a puppy.” Lily’s mommy and daddy talked for a long time. They said, “We do think you will try your best. We will let you have a puppy.” Lily was so happy. She went to the pet shop and picked a tiny puppy. She named him Cody. Cody is the best puppy for this family.",,13,UFLI,6,"digraph, blend, final_e, r_controlled, l_controlled, multisyllabic","multisyllabic words, consonant digraphs, consonant blends","consonant digraphs, consonant blends, final-e words, r-controlled vowels, multisyllabic words"
Maple Fudge,"Uncle Billy wanted to take Able to the candy shop. They drove to a lot and jumped on a shuttle to the shop. When they walked into the candy shop, they smelled the fudge on the table. Able wanted a sample of the maple fudge. He hoped it would not be a hassle for the woman behind the table. “Can I have a sample?” asked Able. “Yes, you can! Which would you like to sample?” said the woman. Able, with a giggle, asked for the maple fudge. “You picked the best one to sample!” said the woman. Able nibbled on the fudge. “This is so yummy!” he said while licking his lips. Uncle Billy got a little bag of fudge for Able to take back home.",,17,UFLI,6,"digraph, blend, final_e, r_controlled, l_controlled, multisyllabic","multisyllabic words, consonant digraphs, final-e words","consonant digraphs, consonant blends, final-e words, multisyllabic words"
A Trip to the Jungle,"Salma and Felix are going on a trip to the jungle. They packed their duffle bags and got on a plane to Brazil. Once in Brazil, they rode a shuttle to the jungle. In the jungle, they saw an anaconda in the grass. They also saw a chimp dangle from a vine. At the end of their trip, they got to see the king of the jungle, the lion! The lion looked hungry and dashed to find a yummy snack. “I am so happy we got to see these animals,” said Salma. “Me too!” said Felix.",,10,UFLI,6,"digraph, blend, final_e, vowel_team, l_controlled, diphthong, multisyllabic","multisyllabic words, consonant digraphs, consonant blends","consonant digraphs, consonant blends, final-e words, vowel teams, l-controlled vowels, diphthongs, multisyllabic words"
The Garden,"Omar loves to be in his garden on his farm. While it is still dark, he drags his old cart across the yard to the barn. He fills the cart with plants for the garden. When he gets to the garden, he looks at the plants one by one. Then he finds them all the best place to live. He finds big spaces for the large plants. He finds shade for the plants that do not like the harsh sun. He gives them all just what they want and makes them look so pretty. When Omar is done, he brings the cart back to the barn. Then he sits on his deck and looks at his garden with pride.",,10,UFLI,6,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, multisyllabic","r-controlled vowels, consonant blends, consonant digraphs","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, multisyllabic words"
Marvel at the Shore,"Cory and his horse, North, traveled to the shore. Cory held on to North’s mane as North galloped across the sand. They arrived at the shore before anyone else. There had been a storm at sunset, so this morning the shore was a marvel. There were hundreds of starfish along the shoreline. The starfish got pulled to the shore in the storm. They were so pretty, but if they were left on the shore they would dry up. Cory jumped off North’s back. He picked up starfish one by one and placed them back where they came from. Cory was happy he could transport the starfish back home.",,10,UFLI,6,"digraph, blend, final_e, r_controlled, l_controlled, multisyllabic","r-controlled vowels, multisyllabic words, consonant digraphs","consonant digraphs, consonant blends, final-e words, r-controlled vowels, l-controlled vowels, multisyllabic words"
Trip to the Market,"Mom and Marcus went to the market. They wanted to pick up some pork, corn, rice, and a jar of mango jelly. They liked this market more than the large store with all the people. The market was on a farm. Mom parked the car and Marcus got the cart. This would be a short trip since they only wanted four things. Marcus got the rice and jar of mango jelly. Mom picked up the pork and corn. Once they had all their items, they gave the saleswoman their cash. Then, they departed the market. They got back in their car and drove home for a yummy lunch.",,11,UFLI,6,"digraph, blend, final_e, r_controlled, l_controlled, diphthong, multisyllabic","r-controlled vowels, multisyllabic words, consonant digraphs","consonant digraphs, consonant blends, final-e words, r-controlled vowels, l-controlled vowels, multisyllabic words"
My Sister’s Fern,"My sister adores plants. She wants to be a farmer or a gardener when she gets older. She has a number of plants at home, but the plant she loves the most is a fern. She has five different kinds of ferns in her backyard. When the ferns are on the verge of wilting, she uses her mister to get them wet. After that, they perk back up. If it is too hot, she gives the ferns some shade on the porch. My sister thinks there is nothing more pretty than a fern!",,8,UFLI,6,"digraph, blend, final_e, vowel_team, r_controlled, multisyllabic","r-controlled vowels, consonant digraphs, multisyllabic words","consonant digraphs, consonant blends, final-e words, r-controlled vowels, multisyllabic words"
A Turtle can Surf!,"Irma the turtle loved to surf. Her mother, Shirly, was the first girl surfer in their turtle village, and Irma wanted to be just like her. Every morning Irma would rush to the shoreline. When she was surfing, Irma would do flips and turns. She would twirl like a twister. All the other animals were shocked that a girl turtle could surf so well! Irma would just yell, “A girl can do anything!” just like her mother told her. Irma would surf until sunset. When the sun was no longer in the sky, she would skip back home. Once she was home, she would curl up in her turtle bed and relax.",,11,UFLI,6,"digraph, blend, final_e, r_controlled, l_controlled, multisyllabic","r-controlled vowels, multisyllabic words, consonant digraphs","consonant digraphs, consonant blends, final-e words, r-controlled vowels, l-controlled vowels, multisyllabic words"
The Worst Pet Ever,"Morgan has wanted a pet for a long time. One morning, there was a small box on the table with her name on it. Inside the box, there was a bunch of dirt. Under the dirt was her new pet, a worm! Morgan was sad. She thinks a worm is the worst pet in the world. She wanted a dog or cat or even a hamster, not a squirmy worm! What were her mom and dad thinking? This pet will not work. She started to cry. Just then, mom and dad came in and said, “We got you! It was a joke! We are going to the pet shop!” Morgan was so happy. She wiped her face and gave mom and dad a hug. She was going to get the best pet ever!",,16,UFLI,6,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","r-controlled vowels, multisyllabic words, consonant digraphs","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, multisyllabic words"
Fishing at the Port,"Travis and his father wanted to go fishing at the port. They drove to the tackle store to pick up some items. They had to get some fishing line and a jar of worms. Travis found the jar of worms under a large rack of fishing poles. His father found the fishing line. He picked the extra sturdy line so they could catch big fish. They gave the clerk a credit card for their items. Travis and his father left the tackle store, got in the car, and drove north to the water. This would be their third trip to the port. Last time, they went home with five fish. This time, they hope to catch more.",,11,UFLI,6,"digraph, blend, final_e, r_controlled, diphthong, multisyllabic","r-controlled vowels, consonant digraphs, consonant blends","consonant digraphs, consonant blends, final-e words, r-controlled vowels, multisyllabic words"
Sunday Fun,"On Sundays, Gail visits her brother at his farm. Gail loves to go to the farm because there is so much to do. She starts the day in the garden. If it did not rain, she sprays the plants with water. Then, Gail and her brother walk on the trail from the garden to the pond. As they walk, Gail hunts for snail shells. When she finds shells, she tucks them in her pocket. She will paint them when she gets home. At the pond, her brother likes to fish. He strings bait onto his fishing pole and waits for a bite. While they wait, Gail plays in the mud and clay. At the end of the day, they walk back up the trail to go home. As they walk, they see the sun set and the day fade away.",,13,UFLI,6,"digraph, blend, final_e, vowel_team, r_controlled, diphthong, multisyllabic","consonant digraphs, vowel teams, consonant blends","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, multisyllabic words"
Deep in the Green Forest,"Once upon a time, there was a fox who lived in a valley. She spent her days deep in the green forest. Each day, she would wake up from her sleep and greet the forest animals. She would say hello to the animals in the trees above her. She would also say hello to the animals who rested by the stream. One morning, the peace of the forest was broken by a horrid scream! The fox looked up to see where the scream came from. She saw a fallen tree. She peeked in and came upon a monkey. The monkey was stuck in the fallen tree. “Can you please help me get free?” pleaded the monkey. “I will try my best,” the fox said. The fox pushed very hard and in the end the monkey was freed! “Thank you so much,” the monkey said as he leaped into another tree. As the fox walked back to the valley, she beamed with pride for helping the monkey.",,16,UFLI,6,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","multisyllabic words, consonant blends, vowel teams","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, l-controlled vowels, multisyllabic words"
A Trip to the Coast,"Harvey owns a big yellow boat. Every summer, he takes the boat on a trip to the coast. This time, he wants to bring his friends, Layla and Joe, with him. There is just one problem, Layla can not swim! Layla must be able to swim if she wants to go on the boat. Layla started swim lessons to grow her skills. She even got a swim coach to teach her. She started slow, but Joe helped her get better. After four weeks of lessons, Layla could swim! Now she could paddle, kick, and float all by herself. Layla showed Harvey her skills. Harvey was thrilled! The next day, Harvey and Layla and Joe set sail to the coast.",,13,UFLI,6,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","consonant blends, multisyllabic words, vowel teams","consonant digraphs, consonant blends, vowel teams, r-controlled vowels, diphthongs, multisyllabic words"
The Right Job,"Curt is a pilot. This means he must fly planes for work. He sports a white shirt and a necktie when he is on the plane. He has been flying for a long time. Sometimes Curt must fly at night when there is no light in the sky. At night, everyone on the plane is asleep and it is silent. This is peaceful, but sometimes it gets boring. Curt prefers to fly in the daylight. This is when he can see the land below and talk to people. Curt also likes seeing the sights in the places he goes. He delights in exploring the parks, theaters, and stores wherever his flights take him. But what he likes best is being high up in the sky. Being a pilot is the right job for Curt!",,13,UFLI,6,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","multisyllabic words, consonant blends, r-controlled vowels","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, l-controlled vowels, multisyllabic words"
Aiden’s Goal,"Aiden had to find a way to make money. He needed to save up for his dream car. He wanted to get a jeep, but jeeps are not cheap. He needed to find a job that paid very well, so he could own his dream car. What could he do? Aiden went to his father for advice. His father said he should study. “How will studying get me my dream car?” Aiden asked. His father explained that he could study a trade like welding or carpentry. He could also take more classes to get a degree. People who had a trade or a degree could make a lot of money. Aiden needed to think over what his father had told him. It would take longer to study, but in the end, Aiden would be able to get his dream car and more. After days of thinking, Aiden chose to take more classes. This would help him reach this goal and his next one, whatever that might be. Aiden’s father was almost always right.",,17,UFLI,6,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","multisyllabic words, vowel teams, consonant blends","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, l-controlled vowels, multisyllabic words"
Brooklyn’s Reading Nook,"Brooklyn got a new book. For weeks, Brooklyn had been looking for this book in every bookshop. She put it at the top of her list because she was confident that this story would be a good one. Brooklyn loved her reading time on the weekends. Each Saturday, she was able to sit in her reading nook and dive into a good book. Last weekend, she finished a story of a famed football star. This weekend she would be starting Little Red Riding Hood. But this story is not the classic she remembers from her childhood. In that book, Little Red Riding Hood is a small child. This modern story is a twisted tale. Little Red Riding Hood is a grown- up when she goes for a walk in the woods. Brooklyn could not wait to pull on her cozy hooded blanket and curl up in her nook with her book.",,12,UFLI,5,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","multisyllabic words, vowel teams, consonant digraphs","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, l-controlled vowels, multisyllabic words"
The Groom is Late!,"The flustered groom rushed into the church. He was very late. Not only was he late, but he had not even finished dressing. He was still pulling on his boots. He ran to his best man and said, “I slept in! My alarm did not go off!” “Keep your cool! Better late than never,” said the best man. The groom smoothed his shirt as best as he could and finished pulling on his boots. “All set!” said the groom. “Time to see my bride.” Just then, booming music started to play, and the church doors swung open. The bride was so graceful as she entered the room, she seemed to be floating. As she reached the groom, she whispered, “Better late than never.” The groom blushed and said, “my alarm did not go off!” With a smile, the bride took her groom’s hand and said, “Next time I will put the alarm on for you.”",,17,UFLI,6,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, multisyllabic","consonant blends, multisyllabic words, consonant digraphs","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, l-controlled vowels, multisyllabic words"
Cruise Ship Trip,"Drew and Marley were thrilled as they walked onto their first cruise ship. They had been packing for this trip for months. Their suitcases were so full they almost did not close. When they got to their cabin, they looked out their window and saw the vast blue sea. It was very pretty! They left their suitcases in the cabin and went to grab a bite to eat by the pool. Yes, the new cruise ship had a pool! How cool! Drew drank apple juice while Marley chewed on some fruit. They watched the crew greeting everyone as they came onto the ship. “This is going to be a fantastic trip!” said Marley. “Yes, I think when we get back on Tuesday, I will feel relaxed and renewed!” Drew said as the ship’s horn blew. Honk! Honk! “And off we go!” Marley squealed. It was a dream come true.",,19,UFLI,6,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","consonant blends, vowel teams, multisyllabic words","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, l-controlled vowels, diphthongs, multisyllabic words"
Classroom Clean Up,"Miss Booker had so many things to do. Classes would be starting next week. She wanted the classroom to be perfect for the children’s first day! On Tuesday, she needed to clean the floors and closets. They were filled with dust and grime from the summer months. On Thursday, she would need to unpack all the boxes. The boxes contained her books, games, and puzzles. On Friday, she would decorate the door and create a display in the hallway. She also wanted to put up a new welcome banner. Then on the weekend, she was going to plan the cool games and projects they would do during their first week. Miss Booker was so excited for her new class!",,11,UFLI,6,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","multisyllabic words, vowel teams, consonant blends","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, l-controlled vowels, multisyllabic words"
Trip to the Zoo,"Audrey and Willow could not wait to see all the animals at the zoo. As they reached the entrance, Audrey paused and asked, “did you bring the tickets?” “Yes! I have them right here,” said Willow. The first display they visited was full of birds. “Look at that pretty macaw! Its wings are like a rainbow,” exclaimed Audrey. “I see the macaw,” responded Willow, “but look at this hawk! It caught a fish in its claws.” Willow could have spent hours at the bird display, but Audrey said she wanted to see more animals. The next display contained a lion sleeping on a large lawn. The lion woke up for five minutes, but then yawned and fell back asleep. “He seems to have day and night mixed up,” snickered Audrey. “Well, it’s not his fault. If I had to hunt for my food, I would want a nap too,” Willow commented. Audrey smirked and said, “That reminds me, I am hungry. Can we go hunt for some food at the snack stand?”",,17,UFLI,7,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","multisyllabic words, vowel teams, diphthongs","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, l-controlled vowels, diphthongs, multisyllabic words"
Surprise on the Track,"“Ready, set, go!” yelled the track coach. The first race of the fourth-grade track meet had begun. Heather had been waiting for this track meet for months. She was ready to win. At first, Heather took the lead. But, as she sprinted to the finish line, she saw some other fourth graders catching up to her. She did not want to give up her lead. She worked on keeping her breath steady as she ran and leaped over the hurdles. Heather was almost to the finish line when, all of a sudden, she saw something white wander onto the track. “A swan!” yelled a child in the stands. A swan wandered onto the track from the swamp up the road. The swan began to waddle to the finish line. Heather crossed the finish line at the same exact time as the swan. “So, who won the race?” asked the class. “It’s a tie! Heather and the swan both won!” exclaimed the track coach.",,20,UFLI,6,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","consonant digraphs, multisyllabic words, consonant blends","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, l-controlled vowels, diphthongs, multisyllabic words"
The Right Choice,"In February, Boyd and James had a choice to make. Their mother said they could get a new pet, but they had to agree on which pet to get. As the boys entered the pet store, their mother’s voice rang in their heads. “Boys, you need to pick a pet that is cute, sweet, and spirited.” The boys looked at all the choices of pets. Boyd saw a small kitten. “This kitten is cute,” said Boyd. James pointed to a spunky puppy. “This puppy looks sweet,” said James. Crash! Just then, the boys heard a big noise. They turned to see a bin of dog toys spilled on the floor. Right in the middle of this mess was a tiny yellow bird. The bird must have gotten free from its cage and flew into the bin. When the yellow bird saw the boys, she joined them and sat in Boyd’s hands. “I think we have our new pet,” Boyd said. “Yes, she is cute, sweet, and spirited,” said James. “And she made the choice for us!”",,18,UFLI,6,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","consonant blends, multisyllabic words, consonant digraphs","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, l-controlled vowels, diphthongs, multisyllabic words"
Summer at the Farmhouse,"Joey is staying with his grandmother for the summer. His grandmother owns a farmhouse close to town. Joey likes to help his grandmother around the farm. However, he most enjoys watching the animals who live outdoors. On Monday, he saw a brown owl hunting a small mouse. The mouse found its way back underground just before the owl swooped down. On Wednesday, he walked down to the stream south of the farm. This stream is full of trout and Joey likes to watch them swim. Then on Friday, he went to the meadow where the cows graze. He picked some wildflowers for his grandmother. Joey hopes to return to his grandmother’s farmhouse each summer.",,11,UFLI,8,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","multisyllabic words, consonant blends, diphthongs","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, l-controlled vowels, diphthongs, multisyllabic words"
A New Coin,"While walking home from work, Carson saw a coin laying on the ground. “This is my lucky day! I found a coin,” said Carson. But as Carson inspected the coin, he began to notice that he had never seen a coin quite like this before. This coin had a hole in the middle of it, and Carson did not recognize the markings on it. Carson wanted to find out where this coin came from. When he got home, he went online to see what he could find out. He looked for any coins with holes in the middle. He found that there are several kinds of these coins around the world. Japan, Norway, and Spain all have coins with holes in the middle. However, as Carson looked at the coins on his computer screen in more detail, he found one that was an exact match. He ran into the family room and shouted to his father and sister, “My newfound coin is from Japan! Japanese coins are called yen. Who could have lost it?” Carson’s father considered for a minute, and then said, “I remember the mailman telling me he had taken a trip to Japan last month. It could be his. I will ask him on Wednesday!”",,17,UFLI,8,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","multisyllabic words, r-controlled vowels, diphthongs","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, l-controlled vowels, diphthongs, multisyllabic words"
Birdwatching,"With her notebook in hand, Cassie walked into the forest ready to study some birds. She loved birdwatching, and she had a knack for finding birds in new places. As she walked, she wrote down the names of the different birds she saw. She would even sketch a drawing of each bird in her notebook. About one hour into her hike, Cassie knelt to rest and eat a snack. As she ate, large crumbs fell to the ground. Snap! Cassie heard a noise very close to her. When she turned around, she saw a small brown bird pecking at her leftover crumbs. It was a wren! Cassie had never seen a wren in real life, but she knows about them from reading her books. Cassie knows that wrens have short wings and hold their tails upright. Wrens are also known for singing loud, complex songs. This little wren seemed to love Cassie’s snack. When all the crumbs were gone, the wren lifted its wings. Cassie watched it fly away into the forest. Cassie was so thrilled with her wren sighting that she sang a long tune all the way home.",,17,UFLI,8,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","multisyllabic words, consonant digraphs, consonant blends","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, l-controlled vowels, diphthongs, multisyllabic words"
Trip to the Baseball Park,"The boys and girls of Miss Brown’s third grade class are jumping up and down with delight when the buses pull up in front of them. All the third grade classes are going on a trip to see a baseball game today. After the teachers check who is present, the students and teachers make their way onto the buses and sit down. As they drive to the baseball park, the students look out the windows and sing silly songs. Once inside the park, they look at the numbers on the benches to find their seats. The game starts a few minutes later. The students cheer as they watch the home team score the first points. The home team makes some impressive runs, passes, and pitches. As the game is about to end, the classes scream with joy. They see themselves on the big screen! On the ride back home, the students and teachers talk about the thrilling events of the day. They all agree they should take a trip to the baseball park again soon.",,12,UFLI,7,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","multisyllabic words, consonant blends, consonant digraphs","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, l-controlled vowels, diphthongs, multisyllabic words"
Growth Spurt,"Akeem woke up one morning feeling quite strange. His arms stretched longer than they ever have before. When he stood up, he hit his head on a shelf! He felt like he had a brand new body. When Akeem got dressed, none of his clothes fit. His arms were longer than his shirt sleeves. His shoes were smaller than his feet. Even his longest pants were now too short. What was he going to do? Akeem walked into the kitchen with his too big body in his too small outfit. “Wow,” grandma exclaimed, “you had a growth spurt! You got taller overnight! Now you may be the tallest kid in your class!” Akeem’s big brother got up from the table and stood next to him. The top of Akeem’s head only reached his brother’s elbows. “Well, you’re still shorter than me,” he said with a grin.",,16,UFLI,6,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","multisyllabic words, consonant digraphs, consonant blends","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, l-controlled vowels, diphthongs, multisyllabic words"
Rollercoaster,"When Kenzer and Sidney got to the front of the line, they finally saw the cars rushing past them. Up close, they seemed a lot faster. As the kids sat in their seats, they double checked that their seatbelts were firmly locked in. Then, they breathed deeply and closed their eyes. The rollercoaster inched up the tracks so slowly it hardly felt like they were moving. When it got to the top, Kenzer timidly peered over the edge. Just when it felt like they got stuck, the car fell quickly. Instantly, they screamed loudly. Kenzer’s belly was doing backflips. Sidney’s curls were blowing in the wind. Their arms and legs were flailing in the sky. Then, just as quickly as the ride started, it was finished. They sat silently for a moment, hardly understanding what just happened. As Kenzer and Sidney took off their seatbelts, they looked at each other and yelled, “that was awesome!” Then they got back in line to take another ride on the roller coaster.",,15,UFLI,8,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","multisyllabic words, consonant digraphs, consonant blends","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, diphthongs, multisyllabic words"
"A Dreadful, Stormy Day","Today Hailey was feeling restless. She wanted so badly to go outside and play but there was a huge storm. The wind was blowing powerfully, and the rain was extremely heavy. It was not safe for Hailey to go outside. She was clueless about how to have fun inside and started to become hopeless. As she was searching her room for something to play with, she found an old box hidden deep under her bed. She assumed it was full of useless junk, but when she opened it, she found one of her old games. Hailey lost the game a long time ago and was thankful to find it. At last, she was feeling hopeful. She showed the game to her sister, and they played for countless hours. It was delightful. They didn’t even realize the storm had passed. What Hailey assumed would be a pointless day turned out to be delightful!",,13,UFLI,8,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","multisyllabic words, consonant blends, vowel teams","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, diphthongs, multisyllabic words"
Unlucky,"Something very unlucky happened to Lee last week. As he was walking into his classroom, he did not see the puddle on the floor. He slid and fell in front of his entire class. That’s not even the worst part! Lee was holding a jar of marbles with the lid unscrewed. When he fell, the marbles flew everywhere. Lee laid on the floor, covered his face, and wanted to cry. But then, all of a sudden, his best friend, Jayvon, sat down next to him. Jayvon uncovered Lee’s face and helped him up. “Don’t worry,” Jayvon said, “people fall all the time.” At first, Lee felt uneasy. When he looked around at his classmates, nobody made fun of him for falling. Instead, Lee’s classmates began picking up all the marbles that spilled. Some of them even told him about times when mistakes like this happened to them. It turns out, it is not that unusual to slip and fall. “I am thankful to have such nice friends,” Lee said.",,16,UFLI,6,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","multisyllabic words, consonant blends, vowel teams","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, l-controlled vowels, diphthongs, multisyllabic words"
Dinner at Grandma’s,"Every Sunday David and Alexis go to Grandma’s house for dinner. This Sunday, they got to help Grandma cook. “Here, put these aprons on,” Grandma said as she greeted the kids at the door. David and Alexis helped each other untie and retie the aprons so they fit just right. “First, we must preheat the oven,” said Grandma. “Next, we wash the potatoes and use a knife to remove the skin. David, that can be your job.” David began cutting the potatoes. “Now we need to boil some water. Alexis, this will be your job. Dump this cup of water into the pot then refill it and add more until the pot is full.” Alexis began filling the pot. “Grandma, this potato still has a bit of skin. Should I redo it?” asked David. “No, that is perfect,” Grandma responded. As the kids cooked, they retold jokes their friends told them and showed Grandma a preview of the new show they were watching. When the meal was ready, David and Alexis sat down to eat. Grandma got a cake from the fridge and placed it on the table. “I premade this as a surprise for dessert!” she said. David and Alexis can’t wait to return to Grandma’s next week to cook some more.",,22,UFLI,6,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","multisyllabic words, consonant blends, vowel teams","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, l-controlled vowels, diphthongs, multisyllabic words"
Poppy the Gamer,"Poppy enjoys playing video games. She is so talented that she plays in events against other gamers and wins quite a bit. The only problem is that her video game console is old. She needs a replacement. Her mom disagrees. Mom thinks the old console works just fine. “You don’t understand,” explained Poppy, “it is so old that it will disqualify me from playing in some events. I am at a huge disadvantage with this console.” Mom understood, but the truth was that a new console was just too expensive. Poppy was so disappointed. A few weeks later, Mom had a surprise for Poppy. “What is this?” Poppy asked, looking at a big bag. “Open it and find out,” said Mom with a smirk. It was the new console! And a brand-new game. “It was on sale,” Mom explained. “At the discounted price, we could afford it. Plus, I told the clerk that you compete, so he threw in this new game for free.” Poppy was elated. She gave mom a huge hug and rushed up to her room with the bag. She disconnected her old console and connected the new one. It was amazing! The graphics were so much better, and the new game was more of a challenge. Poppy now had everything she needed to compete with the best players around.",,25,UFLI,6,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","multisyllabic words, consonant blends, consonant digraphs","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, l-controlled vowels, diphthongs, multisyllabic words"
